,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
0,432,204,54%,74%,49%,377,58%,705,78%,63%
1,116,85,62%,68%,47%,241,62%,341,73%,60%
2,"4,601","2,364",60%,74%,49%,"3,657",63%,"7,055",81%,64%
3,"2,622","1,244",60%,74%,53%,"2,578",63%,"5,605",83%,66%
4,702,288,64%,68%,50%,"1,121",60%,"1,814",75%,62%
5,"1,510",938,66%,70%,54%,"3,102",62%,"5,912",80%,64%
6,825,383,62%,68%,53%,"1,387",60%,"2,414",77%,63%
7,534,409,65%,69%,49%,827,63%,"1,351",77%,62%
8,"1,970",700,62%,74%,51%,"1,517",63%,"3,150",82%,65%
9,"2,980","1,578",64%,74%,49%,"2,212",61%,"4,683",81%,65%
10,"12,400","1,542",69%,79%,56%,"2,717",71%,"9,646",92%,72%
11,"2,123","2,549",59%,68%,48%,"5,150",57%,"7,880",72%,60%
12,274,128,61%,69%,52%,407,58%,732,77%,62%
13,"5,867","2,110",58%,74%,54%,"5,129",64%,"10,691",83%,65%
14,589,478,56%,70%,50%,"1,090",60%,"1,739",75%,61%
15,109,76,64%,73%,51%,110,53%,239,78%,65%
16,"9,791","3,174",59%,76%,52%,"5,690",66%,"12,115",84%,66%
17,724,302,63%,73%,50%,650,63%,"1,248",81%,64%
18,"1,091",526,61%,66%,51%,"2,690",60%,"4,102",74%,60%
19,682,865,62%,66%,50%,"2,338",56%,"3,675",72%,60%
20,"1,455",650,65%,69%,52%,"2,460",61%,"4,364",78%,63%
21,67,37,67%,67%,51%,103,61%,167,76%,61%
22,"1,303",576,60%,73%,52%,"1,412",63%,"2,786",81%,65%
23,835,951,60%,67%,49%,"1,635",59%,"2,550",73%,60%
24,"1,936","1,534",61%,71%,53%,"3,598",61%,"7,038",80%,64%
25,127,228,68%,65%,47%,484,55%,718,70%,59%
26,"3,719","1,862",62%,74%,51%,"3,208",63%,"6,788",83%,66%
27,560,"1,071",63%,65%,49%,"2,761",57%,"4,018",70%,59%
28,"6,507","1,580",62%,78%,53%,"3,339",67%,"8,525",87%,68%
29,241,229,65%,63%,53%,"1,071",60%,"1,562",72%,60%
30,216,168,61%,71%,46%,312,61%,493,75%,61%
31,"1,786",487,59%,75%,50%,"1,187",62%,"2,466",82%,65%
32,"1,403",846,61%,70%,49%,"2,805",58%,"4,721",75%,62%
33,"3,560",853,65%,77%,53%,"1,140",66%,"3,213",88%,69%
34,426,150,65%,74%,52%,254,60%,611,83%,66%
35,118,60,64%,70%,50%,166,69%,244,79%,63%
36,"7,931","1,660",63%,81%,55%,"1,951",70%,"6,733",91%,72%
37,"1,270",672,60%,73%,50%,"1,366",61%,"2,580",80%,64%
38,"3,604","1,878",68%,72%,57%,"5,926",67%,"13,943",86%,67%
39,"1,440",892,59%,76%,52%,"1,085",64%,"2,288",83%,66%
40,"1,100",428,62%,71%,52%,"1,137",60%,"2,183",79%,64%
41,"1,793",873,64%,72%,51%,"1,583",63%,"3,058",81%,64%
42,895,514,58%,75%,44%,550,59%,981,77%,62%
43,"1,139",538,65%,69%,52%,"1,712",63%,"2,907",78%,63%
44,"1,466",478,62%,76%,54%,"1,083",64%,"2,700",86%,68%
45,"1,778",310,63%,80%,55%,379,68%,"1,270",90%,71%
46,"2,756","1,004",59%,75%,52%,"1,981",66%,"4,221",84%,66%
47,253,183,61%,69%,55%,464,61%,838,78%,64%
48,"1,029",959,60%,70%,51%,"1,945",61%,"3,358",77%,62%
49,"2,395",896,58%,76%,51%,"1,504",63%,"3,241",83%,65%
50,"4,660","2,023",62%,73%,53%,"4,815",61%,"10,378",82%,65%
51,155,67,61%,69%,51%,247,62%,399,77%,62%
52,"2,116",728,57%,74%,49%,"1,692",59%,"3,136",78%,63%
53,"2,596","1,077",56%,76%,50%,"1,812",61%,"3,663",81%,65%
54,"1,688",769,59%,74%,51%,"1,289",63%,"2,549",81%,64%
55,"3,665","1,914",57%,70%,52%,"6,220",60%,"10,423",76%,62%
56,209,120,64%,67%,49%,327,56%,544,74%,61%
57,519,359,60%,70%,50%,774,59%,"1,305",76%,62%
58,554,373,61%,71%,53%,910,62%,"1,749",80%,64%
59,614,252,61%,75%,52%,524,65%,"1,074",83%,66%
60,"2,031","1,150",60%,69%,51%,"3,170",59%,"5,318",76%,62%
61,"11,344","2,742",62%,77%,57%,"6,367",67%,"18,630",89%,70%
62,"3,967","2,266",52%,75%,46%,"3,664",60%,"5,806",75%,61%
63,93,111,66%,64%,48%,282,55%,414,69%,58%
64,"7,188","1,705",65%,77%,53%,"2,947",66%,"7,504",87%,68%
65,67,106,67%,63%,48%,343,56%,468,68%,58%
66,"4,526","1,712",60%,72%,54%,"4,864",63%,"9,785",82%,65%
67,"1,069",265,62%,78%,54%,656,66%,"1,628",86%,68%
68,551,315,66%,68%,49%,846,56%,"1,499",75%,61%
69,"8,374","2,216",59%,79%,50%,"3,504",63%,"8,604",85%,67%
70,"1,689",646,62%,72%,53%,"1,768",62%,"3,538",81%,65%
71,"1,914",836,60%,74%,52%,"1,408",62%,"2,953",82%,65%
72,988,506,64%,74%,50%,744,64%,"1,395",81%,65%
73,946,735,56%,71%,51%,"1,468",59%,"2,586",77%,62%
74,147,127,60%,66%,49%,369,59%,527,72%,59%
75,336,196,59%,71%,53%,530,64%,924,79%,64%
76,870,261,61%,74%,49%,700,63%,"1,328",80%,64%
77,750,303,64%,70%,49%,950,61%,"1,673",78%,63%
78,"1,780",844,56%,73%,51%,"1,578",63%,"3,010",81%,64%
79,40,90,67%,65%,43%,202,61%,264,70%,58%
80,"1,579","1,159",62%,68%,52%,"3,322",61%,"5,482",76%,62%
81,478,127,63%,73%,46%,332,58%,605,77%,63%
82,449,261,66%,70%,52%,639,63%,"1,238",81%,64%
83,404,290,61%,70%,49%,676,60%,"1,134",76%,62%
84,512,172,63%,73%,51%,511,63%,"1,033",82%,65%
85,"2,340","1,518",58%,71%,51%,"2,972",60%,"5,300",77%,63%
86,212,112,61%,71%,52%,371,64%,652,79%,63%
87,"5,310","3,794",67%,71%,51%,"6,359",63%,"12,131",80%,64%
88,"1,087",520,66%,68%,52%,"1,960",60%,"3,465",77%,63%
89,88,123,58%,67%,52%,237,66%,351,77%,61%
90,"6,211","2,692",62%,73%,50%,"4,746",62%,"9,466",81%,64%
91,"2,371","1,126",60%,72%,52%,"2,624",61%,"4,896",79%,64%
92,47,38,69%,62%,46%,198,59%,236,66%,57%
93,459,228,65%,71%,51%,667,61%,"1,236",79%,64%
94,139,102,62%,69%,51%,242,61%,416,77%,62%
95,435,488,64%,65%,50%,"1,315",57%,"2,036",72%,60%
96,"5,882","2,486",65%,74%,55%,"5,574",65%,"13,544",86%,67%
97,335,368,62%,67%,49%,892,59%,"1,372",73%,60%
98,"6,844","2,237",57%,77%,53%,"4,385",64%,"9,711",84%,66%
99,628,433,61%,71%,51%,"1,025",61%,"1,772",77%,63%
